,x,y,latitude,longitude,altitude,stopped,time,speed_prev,dir_prev,speed_next,dir_next
0,-282897.1716264377,5683613.031626461,50.77174,3.88287,,0.0,2016-07-29 20:00:20,0.0,0.0,0.428079604612547,0.2987307845432502
1,-282527.7359949185,5683726.797899227,50.77324,3.88777,,0.0,2016-07-29 20:15:23,0.428079604612547,0.2987307845432502,1.4502867652704585,-0.5503034095046837
2,-282154.4111521571,5683497.754614491,50.77172,3.89345,,0.0,2016-07-29 20:20:25,1.4502867652704585,-0.5503034095046837,7.421817338663013,-2.2743101437200113
3,-283589.9647769551,5681805.509246673,50.75486,3.87706,,0.0,2016-07-29 20:25:24,7.421817338663013,-2.2743101437200113,5.753182454190606,-2.1691553634715555
4,-284562.17327815667,5680379.420055283,50.74097,3.86656,,0.0,2016-07-29 20:30:24,5.753182454190606,-2.1691553634715555,5.757295856614194,-2.223228309076384
5,-285610.78528356936,5679006.979213441,50.72745,3.85489,,0.0,2016-07-29 20:35:24,5.757295856614194,-2.223228309076384,6.9270688293602145,-2.3610568780707406
6,-287087.3661387806,5677544.688404803,50.71256,3.83747,,0.0,2016-07-29 20:40:24,6.9270688293602145,-2.3610568780707406,6.97663906196202,-1.240641561561083
7,-286411.10208044923,5675571.334448864,50.69606,3.85105,,0.0,2016-07-29 20:45:23,6.97663906196202,-1.240641561561083,6.579666758292403,-1.2824642875464771
8,-285625.3025052254,5672921.951424107,50.67374,3.86757,,0.0,2016-07-29 20:52:23,6.579666758292403,-1.2824642875464771,6.645081707330811,-1.3850440643219537
9,-285405.6242280167,5671752.943535008,50.66372,3.87309,,0.0,2016-07-29 20:55:22,6.645081707330811,-1.3850440643219537,5.919222098227501,-1.8047316640125697
10,-285820.0044087556,5670014.029803622,50.64782,3.87101,,0.0,2016-07-29 21:00:24,5.919222098227501,-1.8047316640125697,2.5016447407674955,-2.227040401575204
11,-286282.49360596144,5669413.475683785,50.6419,3.86586,,0.0,2016-07-29 21:05:27,2.5016447407674955,-2.227040401575204,6.694338733369266,-2.0130042501651015
12,-287141.91826356377,5667598.354570789,50.62473,3.85777,,0.0,2016-07-29 21:10:27,6.694338733369266,-2.0130042501651015,7.369973290043011,-2.3384684120536305
13,-288718.3137822446,5665965.057836591,50.6082,3.83936,,0.0,2016-07-29 21:15:35,7.369973290043011,-2.3384684120536305,5.132884750465733,-2.1245805509761113
14,-289509.2477924818,5664685.900077298,50.59585,3.8311,,0.0,2016-07-29 21:20:28,5.132884750465733,-2.1245805509761113,6.17722518318585,-2.796438074081704
15,-291270.56012271997,5664052.625346376,50.58789,3.80803,,0.0,2016-07-29 21:25:31,6.17722518318585,-2.796438074081704,7.259478021922337,-1.7795758266847368
16,-291765.587799028,5661716.121421904,50.56661,3.80612,,0.0,2016-07-29 21:31:00,7.259478021922337,-1.7795758266847368,7.212721215992301,-1.8378866628766335
17,-292277.6629530601,5659844.694032593,50.54941,3.80299,,0.0,2016-07-29 21:35:29,7.212721215992301,-1.8378866628766335,7.035883640708089,-2.01080729522002
18,-293182.7359145364,5657922.254277004,50.53123,3.79453,,0.0,2016-07-29 21:40:31,7.035883640708089,-2.01080729522002,6.691336482891513,-1.6191585721143011
19,-293279.1335276121,5655930.567462048,50.51353,3.79741,,0.0,2016-07-29 21:45:29,6.691336482891513,-1.6191585721143011,6.772543935795341,-1.4420251047186048
20,-293016.4839661076,5653902.193452776,50.49599,3.80533,,0.0,2016-07-29 21:50:31,6.772543935795341,-1.4420251047186048,5.265285219134192,-2.31565317495363
21,-294629.74467226316,5652152.520238447,50.47838,3.78672,,0.0,2016-07-29 21:58:03,5.265285219134192,-2.31565317495363,3.026424430037234,-1.8321881105576763
22,-294746.2782675751,5651716.900776473,50.47438,3.78603,,0.0,2016-07-29 22:00:32,3.026424430037234,-1.8321881105576763,6.525947517786977,-1.7637443335839753
23,-295119.18658101046,5649808.256403372,50.45704,3.78491,,0.0,2016-07-29 22:05:30,6.525947517786977,-1.7637443335839753,6.3973599921134925,-1.324693081930882
24,-294651.61669987615,5647946.875801657,50.44125,3.7953,,0.0,2016-07-29 22:10:30,6.3973599921134925,-1.324693081930882,5.442934097199748,-1.8848158026579442
25,-295155.9873478472,5646393.843898493,50.42687,3.79161,,0.0,2016-07-29 22:15:30,5.442934097199748,-1.8848158026579442,4.714984092466138,-2.128024666414021
26,-295901.5296914489,5645197.329398257,50.41531,3.78384,,0.0,2016-07-29 22:20:29,4.714984092466138,-2.128024666414021,5.556560280449246,-1.781337165262131
27,-296249.90739445377,5643567.171255752,50.40046,3.78247,,0.0,2016-07-29 22:25:29,5.556560280449246,-1.781337165262131,4.900146271212565,-1.9679206463410497
28,-296822.26385278604,5642202.492955328,50.38765,3.77745,,0.0,2016-07-29 22:30:31,4.900146271212565,-1.9679206463410497,5.7846745215128585,-1.7509648981441965
29,-297133.24000473344,5640495.180689893,50.37217,3.77676,,0.0,2016-07-29 22:35:31,5.7846745215128585,-1.7509648981441965,6.859474964503274,-1.4997965021904194
30,-296986.28304626676,5638428.838402403,50.35414,3.78314,,0.0,2016-07-29 22:40:33,6.859474964503274,-1.4997965021904194,5.98508261080732,-1.4975456470592359
31,-296854.87722222414,5636638.128555262,50.33852,3.78872,,0.0,2016-07-29 22:45:33,5.98508261080732,-1.4975456470592359,7.332059453253858,-1.8514205810337871
32,-297470.165525925,5634503.418005323,50.31886,3.78473,,0.0,2016-07-29 22:50:36,7.332059453253858,-1.8514205810337871,4.265323378017241,-1.6829525722417238
